year,key_skills_list,count
2015,C#,501
2015,ASP.NET,206
2015,.NET Framework,183
2015,QA,137
2015,Selenium IDE,137
2015,Тестирование,137
2015,MVC,121
2015,MS SQL Server,116
2015,JavaScript,107
2015,jQuery,92
2015,MS SQL,86
2015,SQL,73
2015,ООП,62
2015,Git,61
2015,HTML,60
2015,MS Visual Studio,51
2015,WPF,46
2015,Bootstrap,45
2015,LINQ,44
2015,WCF,37
2016,C#,1164
2016,.NET Framework,648
2016,ASP.NET,606
2016,JavaScript,394
2016,SQL,315
2016,MS SQL,304
2016,ООП,299
2016,MVC,267
2016,MS SQL Server,263
2016,HTML,197
2016,WPF,197
2016,MS Visual Studio,196
2016,WCF,193
2016,jQuery,192
2016,Git,186
2016,Entity Framework,170
2016,С#,169
2016,CSS,144
2016,C++,137
2016,LINQ,111
2017,C#,2035
2017,.NET Framework,1240
2017,ASP.NET,1108
2017,JavaScript,676
2017,SQL,534
2017,MVC,523
2017,ООП,510
2017,MS SQL,507
2017,MS SQL Server,431
2017,Git,404
2017,MS Visual Studio,340
2017,HTML,321
2017,WPF,314
2017,Entity Framework,309
2017,WCF,305
2017,jQuery,279
2017,CSS,259
2017,С#,248
2017,C++,222
2017,Unity,194
2018,C#,3188
2018,.NET Framework,1871
2018,ASP.NET,1618
2018,JavaScript,1144
2018,MS SQL,942
2018,SQL,904
2018,MVC,784
2018,ООП,763
2018,Git,762
2018,Entity Framework,648
2018,HTML,627
2018,MS SQL Server,623
2018,MS Visual Studio,537
2018,CSS,516
2018,WPF,497
2018,jQuery,418
2018,WCF,414
2018,С#,342
2018,C++,333
2018,HTML5,320
2019,C#,3794
2019,.NET Framework,2013
2019,ASP.NET,1638
2019,SQL,1229
2019,JavaScript,1093
2019,MS SQL,1080
2019,Git,1060
2019,ООП,756
2019,MVC,681
2019,WPF,588
2019,MS SQL Server,585
2019,Entity Framework,578
2019,HTML,563
2019,MS Visual Studio,548
2019,CSS,487
2019,WCF,387
2019,С#,377
2019,jQuery,368
2019,Unity,342
2019,C++,340
2020,C#,5274
2020,.NET Framework,2621
2020,ASP.NET,1804
2020,SQL,1731
2020,Git,1552
2020,MS SQL,1351
2020,JavaScript,1216
2020,ООП,1165
2020,MS SQL Server,869
2020,Entity Framework,841
2020,WPF,713
2020,PostgreSQL,704
2020,MS Visual Studio,659
2020,MVC,621
2020,HTML,608
2020,Unity,498
2020,CSS,495
2020,WCF,436
2020,Английский язык,431
2020,Visual Studio C#,408
2021,C#,7980
2021,.NET Framework,3751
2021,ASP.NET,2640
2021,SQL,2567
2021,Git,2408
2021,ООП,1833
2021,MS SQL,1782
2021,JavaScript,1652
2021,PostgreSQL,1332
2021,Entity Framework,1226
2021,MS SQL Server,1130
2021,WPF,938
2021,Английский язык,859
2021,MS Visual Studio,833
2021,.NET Core,770
2021,HTML,766
2021,MVC,734
2021,Unity,686
2021,CSS,665
2021,С#,607
2022,C#,6454
2022,.NET Framework,3043
2022,Git,2247
2022,SQL,2194
2022,ASP.NET,2042
2022,ООП,1633
2022,MS SQL,1423
2022,PostgreSQL,1259
2022,JavaScript,1109
2022,.NET Core,1021
2022,Entity Framework,1010
2022,Английский язык,774
2022,С#,751
2022,WPF,745
2022,MS SQL Server,722
2022,HTML,623
2022,MS Visual Studio,618
2022,Unity,518
2022,Docker,489
2022,MVC,486
2023,C#,3815
2023,.NET Framework,1823
2023,SQL,1344
2023,Git,1234
2023,ASP.NET,1226
2023,PostgreSQL,1139
2023,MS SQL,915
2023,ООП,898
2023,С#,760
2023,.NET Core,724
2023,Entity Framework,653
2023,JavaScript,603
2023,WPF,510
2023,MS SQL Server,351
2023,RabbitMQ,348
2023,MS Visual Studio,346
2023,HTML,344
2023,Docker,340
2023,.NET,337
2023,MVC,320
2024,C#,2433
2024,SQL,1031
2024,ASP.NET,968
2024,PostgreSQL,965
2024,.NET Framework,962
2024,Git,887
2024,.NET Core,692
2024,С#,626
2024,MS SQL,600
2024,ООП,399
2024,Entity Framework,382
2024,JavaScript,353
2024,RabbitMQ,323
2024,Docker,319
2024,WPF,287
2024,ASP.NET Core,275
2024,REST,266
2024,MS SQL Server,249
2024,Kafka,190
2024,HTML,181
